datetime,date,hour,day_of_week,day_name,is_weekend,in,out,total_traffic,net_traffic
2025-09-06 10:00:00,2025-09-06,10,5,Saturday,1,7,9,16,-2
2025-09-06 11:00:00,2025-09-06,11,5,Saturday,1,50,54,104,-4
2025-09-06 12:00:00,2025-09-06,12,5,Saturday,1,79,63,142,16
2025-09-06 13:00:00,2025-09-06,13,5,Saturday,1,122,102,224,20
2025-09-06 14:00:00,2025-09-06,14,5,Saturday,1,167,112,279,55
2025-09-06 15:00:00,2025-09-06,15,5,Saturday,1,79,57,136,22
2025-09-06 16:00:00,2025-09-06,16,5,Saturday,1,109,98,207,11
2025-09-06 17:00:00,2025-09-06,17,5,Saturday,1,117,111,228,6
2025-09-06 18:00:00,2025-09-06,18,5,Saturday,1,210,146,356,64
2025-09-06 19:00:00,2025-09-06,19,5,Saturday,1,157,138,295,19
2025-09-06 20:00:00,2025-09-06,20,5,Saturday,1,115,97,212,18
2025-09-06 21:00:00,2025-09-06,21,5,Saturday,1,27,18,45,9
2025-09-07 21:00:00,2025-09-07,21,6,Sunday,1,15,19,34,-4
2025-09-07 22:00:00,2025-09-07,22,6,Sunday,1,2,3,5,-1
2025-09-13 11:00:00,2025-09-13,11,5,Saturday,1,37,32,69,5
2025-09-13 12:00:00,2025-09-13,12,5,Saturday,1,61,50,111,11
2025-09-13 13:00:00,2025-09-13,13,5,Saturday,1,89,86,175,3
2025-09-13 14:00:00,2025-09-13,14,5,Saturday,1,91,71,162,20
2025-09-13 15:00:00,2025-09-13,15,5,Saturday,1,73,71,144,2
2025-09-13 16:00:00,2025-09-13,16,5,Saturday,1,96,121,217,-25
2025-09-13 17:00:00,2025-09-13,17,5,Saturday,1,101,95,196,6
2025-09-13 18:00:00,2025-09-13,18,5,Saturday,1,117,83,200,34
2025-09-13 19:00:00,2025-09-13,19,5,Saturday,1,93,83,176,10
2025-09-13 20:00:00,2025-09-13,20,5,Saturday,1,93,91,184,2
2025-09-13 21:00:00,2025-09-13,21,5,Saturday,1,68,96,164,-28
2025-09-13 22:00:00,2025-09-13,22,5,Saturday,1,0,2,2,-2
2025-09-14 10:00:00,2025-09-14,10,6,Sunday,1,7,8,15,-1
2025-09-14 11:00:00,2025-09-14,11,6,Sunday,1,68,59,127,9
2025-09-14 12:00:00,2025-09-14,12,6,Sunday,1,108,89,197,19
2025-09-14 13:00:00,2025-09-14,13,6,Sunday,1,148,103,251,45
2025-09-14 14:00:00,2025-09-14,14,6,Sunday,1,177,193,370,-16
2025-09-14 15:00:00,2025-09-14,15,6,Sunday,1,116,137,253,-21
2025-09-14 16:00:00,2025-09-14,16,6,Sunday,1,121,98,219,23
2025-09-14 17:00:00,2025-09-14,17,6,Sunday,1,135,92,227,43
2025-09-14 18:00:00,2025-09-14,18,6,Sunday,1,196,190,386,6
2025-09-14 19:00:00,2025-09-14,19,6,Sunday,1,103,104,207,-1
2025-09-14 20:00:00,2025-09-14,20,6,Sunday,1,49,43,92,6
2025-09-14 21:00:00,2025-09-14,21,6,Sunday,1,23,23,46,0
2025-09-20 11:00:00,2025-09-20,11,5,Saturday,1,36,13,49,23
2025-09-20 12:00:00,2025-09-20,12,5,Saturday,1,198,85,283,113
2025-09-20 13:00:00,2025-09-20,13,5,Saturday,1,280,128,408,152
2025-09-20 14:00:00,2025-09-20,14,5,Saturday,1,202,71,273,131
2025-09-20 15:00:00,2025-09-20,15,5,Saturday,1,429,222,651,207
2025-09-20 16:00:00,2025-09-20,16,5,Saturday,1,257,117,374,140
2025-09-20 17:00:00,2025-09-20,17,5,Saturday,1,367,171,538,196
2025-09-20 18:00:00,2025-09-20,18,5,Saturday,1,496,217,713,279
2025-09-20 19:00:00,2025-09-20,19,5,Saturday,1,291,141,432,150
2025-09-20 20:00:00,2025-09-20,20,5,Saturday,1,195,91,286,104
2025-09-20 21:00:00,2025-09-20,21,5,Saturday,1,111,64,175,47
2025-09-20 22:00:00,2025-09-20,22,5,Saturday,1,12,7,19,5
2025-09-21 13:00:00,2025-09-21,13,6,Sunday,1,22,19,41,3
2025-09-21 14:00:00,2025-09-21,14,6,Sunday,1,189,164,353,25
2025-09-21 15:00:00,2025-09-21,15,6,Sunday,1,140,105,245,35
2025-09-21 16:00:00,2025-09-21,16,6,Sunday,1,152,200,352,-48
2025-09-21 17:00:00,2025-09-21,17,6,Sunday,1,135,152,287,-17
2025-09-21 18:00:00,2025-09-21,18,6,Sunday,1,109,129,238,-20
2025-09-21 19:00:00,2025-09-21,19,6,Sunday,1,122,116,238,6
2025-09-21 20:00:00,2025-09-21,20,6,Sunday,1,94,100,194,-6
2025-09-21 21:00:00,2025-09-21,21,6,Sunday,1,29,27,56,2
2025-09-27 10:00:00,2025-09-27,10,5,Saturday,1,44,29,73,15
2025-09-27 11:00:00,2025-09-27,11,5,Saturday,1,86,42,128,44
2025-09-27 12:00:00,2025-09-27,12,5,Saturday,1,158,74,232,84
2025-09-27 13:00:00,2025-09-27,13,5,Saturday,1,104,50,154,54
2025-09-27 14:00:00,2025-09-27,14,5,Saturday,1,150,65,215,85
2025-09-27 15:00:00,2025-09-27,15,5,Saturday,1,132,61,193,71
2025-09-27 16:00:00,2025-09-27,16,5,Saturday,1,92,51,143,41
