datetime,date,hour,day_of_week,day_name,is_weekend,in,out,total_traffic,net_traffic,is_open
2025-09-06 00:00:00,2025-09-06,0,5,Saturday,1,0,0,0,0,0
2025-09-06 01:00:00,2025-09-06,1,5,Saturday,1,0,0,0,0,0
2025-09-06 02:00:00,2025-09-06,2,5,Saturday,1,0,0,0,0,0
2025-09-06 03:00:00,2025-09-06,3,5,Saturday,1,0,0,0,0,0
2025-09-06 04:00:00,2025-09-06,4,5,Saturday,1,0,0,0,0,0
2025-09-06 05:00:00,2025-09-06,5,5,Saturday,1,0,0,0,0,0
2025-09-06 06:00:00,2025-09-06,6,5,Saturday,1,0,0,0,0,0
2025-09-06 07:00:00,2025-09-06,7,5,Saturday,1,0,0,0,0,0
2025-09-06 08:00:00,2025-09-06,8,5,Saturday,1,0,0,0,0,0
2025-09-06 09:00:00,2025-09-06,9,5,Saturday,1,0,0,0,0,0
2025-09-06 10:00:00,2025-09-06,10,5,Saturday,1,7,9,16,-2,1
2025-09-06 11:00:00,2025-09-06,11,5,Saturday,1,50,54,104,-4,1
2025-09-06 12:00:00,2025-09-06,12,5,Saturday,1,79,63,142,16,1
2025-09-06 13:00:00,2025-09-06,13,5,Saturday,1,122,102,224,20,1
2025-09-06 14:00:00,2025-09-06,14,5,Saturday,1,167,112,279,55,1
2025-09-06 15:00:00,2025-09-06,15,5,Saturday,1,79,57,136,22,1
2025-09-06 16:00:00,2025-09-06,16,5,Saturday,1,109,98,207,11,1
2025-09-06 17:00:00,2025-09-06,17,5,Saturday,1,117,111,228,6,1
2025-09-06 18:00:00,2025-09-06,18,5,Saturday,1,210,146,356,64,1
2025-09-06 19:00:00,2025-09-06,19,5,Saturday,1,157,138,295,19,1
2025-09-06 20:00:00,2025-09-06,20,5,Saturday,1,115,97,212,18,1
2025-09-06 21:00:00,2025-09-06,21,5,Saturday,1,27,18,45,9,1
2025-09-06 22:00:00,2025-09-06,22,5,Saturday,1,0,0,0,0,1
2025-09-06 23:00:00,2025-09-06,23,5,Saturday,1,0,0,0,0,0
2025-09-07 00:00:00,2025-09-07,0,6,Sunday,1,0,0,0,0,0
2025-09-07 01:00:00,2025-09-07,1,6,Sunday,1,0,0,0,0,0
2025-09-07 02:00:00,2025-09-07,2,6,Sunday,1,0,0,0,0,0
2025-09-07 03:00:00,2025-09-07,3,6,Sunday,1,0,0,0,0,0
2025-09-07 04:00:00,2025-09-07,4,6,Sunday,1,0,0,0,0,0
2025-09-07 05:00:00,2025-09-07,5,6,Sunday,1,0,0,0,0,0
2025-09-07 06:00:00,2025-09-07,6,6,Sunday,1,0,0,0,0,0
2025-09-07 07:00:00,2025-09-07,7,6,Sunday,1,0,0,0,0,0
2025-09-07 08:00:00,2025-09-07,8,6,Sunday,1,0,0,0,0,0
2025-09-07 09:00:00,2025-09-07,9,6,Sunday,1,0,0,0,0,0
2025-09-07 10:00:00,2025-09-07,10,6,Sunday,1,0,0,0,0,1
2025-09-07 11:00:00,2025-09-07,11,6,Sunday,1,0,0,0,0,1
2025-09-07 12:00:00,2025-09-07,12,6,Sunday,1,0,0,0,0,1
2025-09-07 13:00:00,2025-09-07,13,6,Sunday,1,0,0,0,0,1
2025-09-07 14:00:00,2025-09-07,14,6,Sunday,1,0,0,0,0,1
2025-09-07 15:00:00,2025-09-07,15,6,Sunday,1,0,0,0,0,1
2025-09-07 16:00:00,2025-09-07,16,6,Sunday,1,0,0,0,0,1
2025-09-07 17:00:00,2025-09-07,17,6,Sunday,1,0,0,0,0,1
2025-09-07 18:00:00,2025-09-07,18,6,Sunday,1,0,0,0,0,1
2025-09-07 19:00:00,2025-09-07,19,6,Sunday,1,0,0,0,0,1
2025-09-07 20:00:00,2025-09-07,20,6,Sunday,1,0,0,0,0,1
